,z,extinct,extinct_443,extinct_492,extinct_560,extinct_665,extinct_704,extinct_740,extinct_783,extinct_835,extinct_865,extinct_945,extinct_1613,extinct_2200
0,0.0,0.005011133236904803,0.013989828595242977,0.011777628583722801,0.00927242636318654,0.006467674718616339,0.0056737269284259225,0.005011133236904803,0.00433448364248564,0.00365492573453414,0.003324356191171777,0.002638981954842419,0.0007559959712395896,0.0004347086060662852
1,1.0,0.007516699855357205,0.020984742892864467,0.017666442875584203,0.01390863954477981,0.009701512077924508,0.008510590392638885,0.007516699855357205,0.00650172546372846,0.00548238860180121,0.004986534286757665,0.0039584729322636285,0.0011339939568593845,0.0006520629090994279
2,2.0,0.01252783309226201,0.034974571488107446,0.029444071459307008,0.023181065907966352,0.01616918679654085,0.014184317321064809,0.01252783309226201,0.010836209106214101,0.00913731433633535,0.008310890477929442,0.0065974548871060475,0.0018899899280989743,0.001086771515165713
3,3.0,0.018290636314702534,0.051062874372636874,0.04298834433058823,0.033844356225630874,0.023607012722949638,0.02070910328875462,0.018290636314702534,0.015820865295072588,0.013340478931049612,0.012133900097776986,0.00963228413517483,0.0027593852950245027,0.0015866864121419414
4,4.0,0.01277838975410725,0.0356740629178696,0.03003295288849315,0.023644687226125678,0.016492570532471666,0.014468003667486105,0.01277838975410725,0.011052933288338384,0.009320060623062058,0.008477108287488032,0.006729403984848169,0.001927789726660954,0.0011085069454690275
5,5.0,0.01166341260889593,0.03256132605542803,0.027412430528614824,0.021581572360316673,0.015053512907579529,0.013205599425911336,0.01166341260889593,0.010088510677885328,0.00850683964712821,0.007737439034952311,0.00614223049989573,0.001759580623060145,0.0010117842806192788
6,6.0,0.009658959314134009,0.02696539461733084,0.022701379095125703,0.017872601815042057,0.012466443020132993,0.010936108654540967,0.009658959314134009,0.008354717220891072,0.007044869353314555,0.0064076965584836,0.0050866377179587625,0.0014571822345643092,0.0008379008381927648
7,7.0,0.0078048400164792316,0.021789158037090937,0.018343656519148266,0.014441804060663036,0.01007340337424495,0.008836829691023375,0.0078048400164792316,0.006750958273171385,0.005692546831536923,0.0051776847677500425,0.004110214394667067,0.001177463725205661,0.0006770586539482393
8,8.0,0.004221879752092297,0.011786430591492208,0.00992265208178646,0.00781201921098466,0.005449015950434266,0.0047801149371988405,0.004221879752092297,0.003651802468794152,0.0030792749313450127,0.002800770091062222,0.002223342296954738,0.0006369266057693543,0.0003662420006108453
9,9.0,0.0022800656227916854,0.006365372010835554,0.005358821005593875,0.004218953995249876,0.002942791996970434,0.0025815457524337947,0.0022800656227916854,0.0019721900573309663,0.0016629912092130336,0.0015125820669831583,0.0012007367894533005,0.00034397816691401326,0.00019779241576015977
10,10.0,0.0014281729725178689,0.003987101149644248,0.0033566241463609983,0.0026426415135081638,0.0018432872948056565,0.001617012174601388,0.0014281729725178689,0.0012353278381084074,0.0010416538343422299,0.0009474415144839563,0.0007521098571300894,0.00021545885180328304,0.00012389195272889127
11,11.0,0.0010009738640717346,0.002794468261899785,0.00235258130959863,0.0018521671660465117,0.0012919180250436139,0.0011333269539530782,0.0010009738640717346,0.0008658131075865068,0.0007300714154731945,0.0006640401491865625,0.0005271366454797732,0.00015101019525510804,8.683304406174049e-05
12,12.0,0.0008030341012139948,0.002241870032387687,0.001887364980541579,0.001485906324700643,0.0010364448736582684,0.0009092147402802542,0.0008030341012139948,0.0006946010037083239,0.0005857018489590959,0.0005327280796352772,0.0004228968582634976,0.00012114835439114425,6.966205412212221e-05
13,13.0,0.0006476889708699458,0.001808185345935155,0.0015222584944461722,0.0011984611074418604,0.0008359469573811618,0.0007333292054990505,0.0006476889708699458,0.0005602320107912691,0.0004723991511885376,0.00042967303770895216,0.00034108841766338264,9.771247928271696e-05,5.618608733406737e-05
14,14.0,0.0005537302226779808,0.001545876059774349,0.0013014279585013696,0.0010246031131321126,0.0007146780564071055,0.0006269468255910645,0.0005537302226779808,0.0004789604424946632,0.00040386929366602244,0.0003673413591244813,0.0002916075060100873,8.353755482197466e-05,4.803530097032452e-05
15,15.0,0.0004948494071443494,0.0013814955737802442,0.001163040822642627,0.000915652103364671,0.0006386828784633636,0.0005602805341820599,0.0004948494071443494,0.000428030259695457,0.0003609239162852464,0.000328280173878213,0.0002605994680406889,7.46546021599095e-05,4.2927474849045675e-05
16,16.0,0.00047856322412440875,0.0013360286308457044,0.0011247635297455276,0.0008855167176843146,0.0006176629356278604,0.0005418409216646757,0.00047856322412440875,0.00041394318785737864,0.0003490454076480104,0.0003174760162569047,0.00025202277668745103,7.219761525338082e-05,4.1514671879330244e-05
17,17.0,0.0005324329064211353,0.0014864192882445661,0.0012513730370205475,0.0009851953010885698,0.0006871904388529859,0.0006028334861452543,0.0005324329064211353,0.00046053888701409924,0.00038833585929425236,0.00035321284531200127,0.00028039183270200696,8.032457194420639e-05,4.6187789394542805e-05
18,18.0,0.0006514473207976243,0.0018186777173815867,0.0015310917158839641,0.0012054154272142501,0.000840797713420124,0.0007375845006953698,0.0006514473207976243,0.0005634828735231332,0.00047514034548943815,0.00043216630485233093,0.0003430676541295144,9.827947626114665e-05,5.6512118788617076e-05
19,19.0,0.0007278671026604227,0.0020320226034590424,0.001710700551785737,0.001346819929252845,0.0009394297528790232,0.0008241088363538653,0.0007278671026604227,0.0006295837490710392,0.0005308779629410839,0.0004828627367677006,0.00038331212894086137,0.0001098084148225504,6.314142503112793e-05
20,20.0,0.0007378893691342323,0.0020600022606495285,0.0017342558089531827,0.0013653647819792181,0.000952365102316256,0.0008354562902107172,0.0007378893691342323,0.0006382527163560106,0.0005381878144101521,0.0004895114491500442,0.0003885900928505462,0.00011132040676502959,6.40108422432605e-05
21,21.0,0.0006288972212315527,0.0017557234887029935,0.0014780923872572114,0.0011636895085799107,0.0008116931771863504,0.0007120527295174532,0.0006288972212315527,0.0005439776971319477,0.0004586931796840345,0.0004172067019920579,0.00033119223533272353,9.487749439056849e-05,5.455593006131879e-05
22,22.0,0.0005261689898750044,0.0014689320025005127,0.0012366510012908943,0.0009736047681345867,0.0006791058454547156,0.000595741327484722,0.0005261689898750044,0.00045512078246099226,0.0003837672021260847,0.00034905740007303655,0.000277093105258454,7.937957698015692e-05,4.5644403636959955e-05
23,23.0,0.00037583499276786024,0.0010492371446432234,0.0008833221437792101,0.0006954319772389905,0.0004850756038962254,0.0004255295196319442,0.00037583499276786024,0.000325086273186423,0.0002741194300900605,0.00024932671433788324,0.0001979236466131814,5.669969784296922e-05,3.260314545497139e-05
24,24.0,0.0002480510952267878,0.0006924965154645274,0.0005829926148942787,0.0004589851049777337,0.0003201498985715088,0.0002808494829570832,0.0002480510952267878,0.0002145569403030392,0.00018091882385943994,0.00016455563146300297,0.00013062960676469974,3.742180057635969e-05,2.151807600028112e-05
25,25.0,0.00016411461350863233,0.00045816688649420755,0.00038571733611692183,0.00030367196339435923,0.00021181634703468512,0.000185814556905949,0.00016411461350863233,0.00014195433929140475,0.0001196988178059931,0.00010887266526087571,8.642665902108923e-05,2.4758868058096567e-05,1.4236706848670843e-05
26,30.0,4.159240586630987e-05,0.00011611557734051673,9.775431724489927e-05,7.696113881444828e-05,5.3681700164515616e-05,4.7091933505935164e-05,4.159240586630987e-05,3.597621423263082e-05,3.0335883596633364e-05,2.759215638672575e-05,2.190355022519208e-05,6.274766561288595e-06,3.6080814303501677e-06
27,35.0,2.0545646271309692e-05,5.73582972404962e-05,4.828827719326348e-05,3.801694808906481e-05,2.6517466346326986e-05,2.326228040654628e-05,2.0545646271309692e-05,1.7771382934191124e-05,1.4985195511589973e-05,1.3629860383804285e-05,1.0819826014853917e-05,3.0995834820823176e-06,1.7823052848717692e-06
28,40.0,1.0009738640717345e-05,2.794468261899785e-05,2.35258130959863e-05,1.8521671660465114e-05,1.2919180250436138e-05,1.1333269539530782e-05,1.0009738640717345e-05,8.658131075865066e-06,7.300714154731945e-06,6.640401491865624e-06,5.271366454797732e-06,1.5101019525510805e-06,8.683304406174048e-07
29,45.0,5.023661069997065e-06,1.4024803166731085e-05,1.1807072655182108e-05,9.295607429094506e-06,6.4838439054128794e-06,5.687911245746988e-06,5.023661069997065e-06,4.345319851591854e-06,3.6640630488704754e-06,3.3326670816497062e-06,2.6455794097295248e-06,7.578859611676887e-07,4.3579537758145094e-07
30,50.0,2.6308449493750215e-06,7.344660012502563e-06,6.183255006454471e-06,4.868023840672933e-06,3.3955292272735774e-06,2.9787066374236094e-06,2.6308449493750215e-06,2.2756039123049607e-06,1.9188360106304235e-06,1.7452870003651827e-06,1.3854655262922698e-06,3.9689788490078456e-07,2.2822201818479972e-07
31,70.0,2.0044532947619215e-07,5.595931438097192e-07,4.7110514334891214e-07,3.7089705452746163e-07,2.5870698874465356e-07,2.2694907713703693e-07,2.0044532947619215e-07,1.733793456994256e-07,1.4619702938136562e-07,1.3297424764687107e-07,1.0555927819369677e-07,3.023983884958359e-08,1.738834424265141e-08
32,100.0,1.166341260889593e-09,3.2561326055428033e-09,2.741243052861482e-09,2.1581572360316672e-09,1.505351290757953e-09,1.3205599425911335e-09,1.166341260889593e-09,1.0088510677885327e-09,8.506839647128211e-10,7.737439034952311e-10,6.14223049989573e-10,1.759580623060145e-10,1.0117842806192789e-10
